Fiscal_Year,Line_Item,Segment,Value_$m
2020,Asset management,Group_Total,253.0
2020,Balance at beginning of year,Group_Total,9736.0
2020,Balance at end of year,Group_Total,10093.0
2020,Change in amounts attributable to non-controlling interests,Group_Total,209.0
2020,Changes in operating assumptions and experience variances,Group_Total,215.0
2020,Distribution rights and other intangibles,Group_Total,4025.0
2020,Equity items from discontinued US operations,Group_Total,751.0
2020,Expected return on existing free surplus,Group_Total,101.0
2020,Expected transfer from in-force business,Group_Total,1878.0
2020,Foreign exchange movements on operations,Group_Total,136.0
2020,Free surplus excluding distribution rights and other intangibles,Group_Total,6068.0
2020,Free surplus generated for the year,Group_Total,233.0
2020,Free surplus generated from continuing operations,Group_Total,1231.0
2020,Free surplus generated from discontinued US operations,Group_Total,-998.0
2020,Investment in new business,Group_Total,-559.0
2020,Long-term business,Group_Total,1635.0
2020,Net movement in free surplus before amounts attributable to non-controlling interests,Group_Total,148.0
2020,New share capital subscribed,Group_Total,13.0
2020,Non-operating free surplus generated,Group_Total,316.0
2020,Operating free surplus generated,Group_Total,915.0
2020,Operating free surplus generated before restructuring and IFRS 17 implementation costs,Group_Total,1062.0
2020,Operating free surplus generated from in-force long-term business,Group_Total,2194.0
2020,Operating free surplus generated from long-term and asset management businesses,Group_Total,1888.0
2020,Other external dividends,Group_Total,-814.0
2020,Other income and expenditure,Group_Total,-826.0
2020,Other movements and timing differences,Group_Total,-171.0
2020,Restructuring and IFRS 17 implementation costs,Group_Total,-147.0
2021,Asset management,Group_Total,284.0
2021,Asset management,Insurance_and_AM,284.0
2021,Balance at beginning of year,Group_Total,10093.0
2021,Balance at beginning of year,Insurance_and_AM,5983.0
2021,Balance at beginning of year,Other_Central,2361.0
2021,Balance at beginning of year (as previously reported),Group_Total,10093.0
2021,Balance at beginning of year after adoption of HK RBC,Group_Total,10093.0
2021,Balance at end of year,Group_Total,14049.0
2021,Balance at end of year,Insurance_and_AM,6650.0
2021,Balance at end of year,Other_Central,7399.0
2021,Change in amounts attributable to non-controlling interests,Group_Total,-106.0
2021,Change in amounts attributable to non-controlling interests,Insurance_and_AM,-21.0
2021,Changes in operating assumptions and experience variances,Group_Total,-173.0
2021,Changes in operating assumptions and experience variances,Insurance_and_AM,-173.0
2021,Demerger dividend in specie from Jackson,Group_Total,-1735.0
2021,Demerger dividend in specie from Jackson,Other_Central,493.0
2021,Distribution rights and other intangibles,Group_Total,3966.0
2021,Distribution rights and other intangibles,Insurance_and_AM,999.0
2021,Distribution rights and other intangibles,Other_Central,2967.0
2021,Equity items from discontinued US operations,Group_Total,-206.0
2021,Expected return on existing free surplus,Group_Total,157.0
2021,Expected return on existing free surplus,Insurance_and_AM,157.0
2021,Expected transfer from in-force business,Group_Total,2340.0
2021,Expected transfer from in-force business,Insurance_and_AM,2340.0
2021,Foreign exchange movements on operations,Group_Total,10.0
2021,Foreign exchange movements on operations,Insurance_and_AM,-43.0
2021,Foreign exchange movements on operations,Other_Central,53.0
2021,Free surplus excluding distribution rights and other intangibles,Group_Total,10083.0
2021,Free surplus excluding distribution rights and other intangibles,Insurance_and_AM,5651.0
2021,Free surplus excluding distribution rights and other intangibles,Other_Central,4432.0
2021,Free surplus generated for the year,Group_Total,2031.0
2021,Free surplus generated for the year,Insurance_and_AM,2128.0
2021,Free surplus generated for the year,Other_Central,-867.0
2021,Free surplus generated from continuing operations,Group_Total,1261.0
2021,Free surplus generated from continuing operations,Insurance_and_AM,2128.0
2021,Free surplus generated from continuing operations,Other_Central,-867.0
2021,Free surplus generated from discontinued US operations,Group_Total,770.0
2021,Investment in new business,Group_Total,-537.0
2021,Investment in new business,Insurance_and_AM,-537.0
2021,Long-term business,Group_Total,1787.0
2021,Long-term business,Insurance_and_AM,1787.0
2021,Net cash flows paid to parent company,Insurance_and_AM,-1451.0
2021,Net cash flows paid to parent company,Other_Central,1451.0
2021,Net movement in free surplus before amounts attributable to non-controlling interests,Group_Total,4062.0
2021,Net movement in free surplus before amounts attributable to non-controlling interests,Insurance_and_AM,688.0
2021,Net movement in free surplus before amounts attributable to non-controlling interests,Other_Central,5038.0
2021,Net movement in free surplus before non-controlling interest,Group_Total,4062.0
2021,Net movement in free surplus before non-controlling interest and before net subordinated debt redemption,Group_Total,4294.0
2021,Net subordinated debt issuance/redemption,Group_Total,-232.0
2021,Net subordinated debt issuance/redemption,Other_Central,-232.0
2021,Net subordinated debt redemption,Group_Total,-232.0
2021,New share capital subscribed,Group_Total,2382.0
2021,New share capital subscribed,Other_Central,2382.0
2021,Non-operating free surplus generated,Group_Total,82.0
2021,Non-operating free surplus generated,Insurance_and_AM,142.0
2021,Non-operating free surplus generated,Other_Central,-60.0
2021,Operating free surplus generated,Group_Total,1179.0
2021,Operating free surplus generated,Insurance_and_AM,1986.0
2021,Operating free surplus generated,Other_Central,-807.0
2021,Operating free surplus generated before restructuring and IFRS 17 implementation costs,Group_Total,1348.0
2021,Operating free surplus generated before restructuring and IFRS 17 implementation costs,Insurance_and_AM,2071.0
2021,Operating free surplus generated before restructuring and IFRS 17 implementation costs,Other_Central,-723.0
2021,Operating free surplus generated from in-force long-term business,Group_Total,2324.0
2021,Operating free surplus generated from in-force long-term business,Insurance_and_AM,2324.0
2021,Operating free surplus generated from long-term and asset management businesses,Group_Total,2071.0
2021,Operating free surplus generated from long-term and asset management businesses,Insurance_and_AM,2071.0
2021,Other external dividends,Group_Total,-421.0
2021,Other external dividends,Other_Central,-421.0
2021,Other income (expenditure),Group_Total,-723.0
2021,Other income and expenditure,Group_Total,-723.0
2021,Other income and expenditure,Other_Central,-723.0
2021,Other movements and timing differences,Group_Total,238.0
2021,Other movements and timing differences,Insurance_and_AM,54.0
2021,Other movements and timing differences,Other_Central,184.0
2021,Restructuring and IFRS 17 implementation costs,Group_Total,-169.0
2021,Restructuring and IFRS 17 implementation costs,Insurance_and_AM,-85.0
2021,Restructuring and IFRS 17 implementation costs,Other_Central,-84.0
2021,Treatment of 'grandfathered' debt instruments under the GWS Framework,Group_Total,1995.0
2021,Treatment of grandfathered debt instruments under the GWS Framework,Group_Total,1995.0
2021,Treatment of grandfathered debt instruments under the GWS Framework,Other_Central,1995.0
2022,Asset management,Group_Total,234.0
2022,Asset management,Insurance_and_AM,234.0
2022,Balance at beginning of year (as previously reported),Group_Total,14049.0
2022,Balance at beginning of year (as previously reported),Insurance_and_AM,6650.0
2022,Balance at beginning of year (as previously reported),Other_Central,7399.0
2022,Balance at beginning of year after adoption of HK RBC,Group_Total,15409.0
2022,Balance at beginning of year after adoption of HK RBC,Insurance_and_AM,8010.0
2022,Balance at beginning of year after adoption of HK RBC,Other_Central,7399.0
2022,Balance at end of year,Group_Total,12229.0
2022,Balance at end of year,Insurance_and_AM,6678.0
2022,Balance at end of year,Other_Central,5551.0
2022,Change in amounts attributable to non-controlling interests,Group_Total,-10.0
2022,Change in amounts attributable to non-controlling interests,Insurance_and_AM,-10.0
2022,Changes in operating assumptions and experience variances,Group_Total,-227.0
2022,Changes in operating assumptions and experience variances,Insurance_and_AM,-227.0
2022,Distribution rights and other intangibles,Group_Total,3839.0
2022,Distribution rights and other intangibles,Insurance_and_AM,951.0
2022,Distribution rights and other intangibles,Other_Central,2888.0
2022,Effect of HK RBC,Group_Total,1360.0
2022,Effect of HK RBC,Insurance_and_AM,1360.0
2022,Expected return on existing free surplus,Group_Total,347.0
2022,Expected return on existing free surplus,Insurance_and_AM,347.0
2022,Expected transfer from in-force business,Group_Total,2406.0
2022,Expected transfer from in-force business,Insurance_and_AM,2406.0
2022,Foreign exchange movements on operations,Group_Total,-316.0
2022,Foreign exchange movements on operations,Insurance_and_AM,-316.0
2022,Free surplus excluding distribution rights and other intangibles,Group_Total,8390.0
2022,Free surplus excluding distribution rights and other intangibles,Insurance_and_AM,5727.0
2022,Free surplus excluding distribution rights and other intangibles,Other_Central,2663.0
2022,Free surplus generated for the year,Group_Total,-550.0
2022,Free surplus generated for the year,Insurance_and_AM,33.0
2022,Free surplus generated for the year,Other_Central,-583.0
2022,Free surplus generated from continuing operations,Group_Total,-550.0
2022,Free surplus generated from continuing operations,Insurance_and_AM,33.0
2022,Free surplus generated from continuing operations,Other_Central,-583.0
2022,Investment in new business,Group_Total,-567.0
2022,Investment in new business,Insurance_and_AM,-567.0
2022,Long-term business,Group_Total,1959.0
2022,Long-term business,Insurance_and_AM,1959.0
2022,Net cash flows paid to parent company,Insurance_and_AM,-1304.0
2022,Net cash flows paid to parent company,Other_Central,1304.0
2022,Net movement in free surplus before non-controlling interest,Group_Total,-3170.0
2022,Net movement in free surplus before non-controlling interest,Insurance_and_AM,-1322.0
2022,Net movement in free surplus before non-controlling interest,Other_Central,-1848.0
2022,Net movement in free surplus before non-controlling interest and before net subordinated debt redemption,Group_Total,-1471.0
2022,Net movement in free surplus before non-controlling interest and before net subordinated debt redemption,Insurance_and_AM,-1322.0
2022,Net movement in free surplus before non-controlling interest and before net subordinated debt redemption,Other_Central,-149.0
2022,Net subordinated debt redemption,Group_Total,-1699.0
2022,Net subordinated debt redemption,Other_Central,-1699.0
2022,New share capital subscribed,Group_Total,-4.0
2022,New share capital subscribed,Other_Central,-4.0
2022,Non-operating free surplus generated,Group_Total,-1924.0
2022,Non-operating free surplus generated,Insurance_and_AM,-2040.0
2022,Non-operating free surplus generated,Other_Central,116.0
2022,Operating free surplus generated,Group_Total,1374.0
2022,Operating free surplus generated,Insurance_and_AM,2073.0
2022,Operating free surplus generated,Other_Central,-699.0
2022,Operating free surplus generated from in-force long-term business,Group_Total,2526.0
2022,Operating free surplus generated from in-force long-term business,Insurance_and_AM,2526.0
2022,Operating free surplus generated from long-term and asset management businesses,Group_Total,2193.0
2022,Operating free surplus generated from long-term and asset management businesses,Insurance_and_AM,2193.0
2022,Other external dividends,Group_Total,-474.0
2022,Other external dividends,Other_Central,-474.0
2022,Other income (expenditure),Group_Total,-542.0
2022,Other income (expenditure),Other_Central,-542.0
2022,Other movements and timing differences,Group_Total,-127.0
2022,Other movements and timing differences,Insurance_and_AM,265.0
2022,Other movements and timing differences,Other_Central,-392.0
2022,Restructuring and IFRS 17 implementation costs,Group_Total,-277.0
2022,Restructuring and IFRS 17 implementation costs,Insurance_and_AM,-120.0
2022,Restructuring and IFRS 17 implementation costs,Other_Central,-157.0
